Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
rstan,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.32.7,NA,"R (>= 3.4.0), StanHeaders (>= 2.32.0)","methods, stats4, inline (>= 0.3.19), gridExtra (>= 2.3), Rcpp
(>= 1.0.7), RcppParallel (>= 5.1.4), loo (>= 2.4.1), pkgbuild
(>= 1.2.0), QuickJSR, ggplot2 (>= 3.3.5)","Rcpp (>= 1.0.7), RcppEigen (>= 0.3.4.0.0), BH (>= 1.75.0-0),
StanHeaders (>= 2.32.0), RcppParallel (>= 5.1.4)","testthat (>= 3.0.4), parallel, KernSmooth, shinystan,
bayesplot, rmarkdown, rstantools, rstudioapi, Matrix, knitr,
coda, V8",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.3.3
rstantools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.4.0,NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
rstatix,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.7.2,NA,R (>= 3.3.0),"stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
rstudioapi,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.17.1,NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
rsvd,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.5,NA,R (>= 4.0.0),Matrix,NA,"ggplot2, testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
rtracklayer,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.62.0,NA,"R (>= 3.5.0), methods, GenomicRanges (>= 1.37.2)","XML (>= 1.98-0), BiocGenerics (>= 0.35.3), S4Vectors (>=
0.23.18), IRanges (>= 2.13.13), XVector (>= 0.19.7),
GenomeInfoDb (>= 1.15.2), Biostrings (>= 2.47.6), zlibbioc,
RCurl (>= 1.4-2), Rsamtools (>= 1.31.2), GenomicAlignments (>=
1.15.6), BiocIO, tools, restfulr (>= 0.0.13)","S4Vectors, IRanges, XVector","BSgenome (>= 1.33.4), humanStemCell, microRNA (>= 1.1.1),
genefilter, limma, org.Hs.eg.db, hgu133plus2.db,
GenomicFeatures, BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, RUnit",NA,Artistic-2.0 + file LICENSE,NA,NA,NA,NA,yes,4.3.2
Rtsne,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.17,NA,NA,"Rcpp (>= 0.11.0), stats",Rcpp,"irlba, testthat",NA,file LICENSE,yes,NA,NA,NA,yes,4.3.3
rversions,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.2,NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
rvest,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.4,NA,R (>= 3.6),"cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.3)",NA,"chromote, covr, knitr, R6, readr, repurrrsive, rmarkdown,
spelling, stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
S4Arrays,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.1,NA,"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors, IRanges","stats, crayon",S4Vectors,"BiocParallel, SparseArray (>= 0.0.4), DelayedArray, testthat,
knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
S4Vectors,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.40.2,NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.2
safe,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.42.0,NA,"R (>= 2.4.0), AnnotationDbi, Biobase, methods, SparseM",NA,NA,"GO.db, PFAM.db, reactome.db, hgu133a.db, breastCancerUPP,
survival, foreach, doRNG, Rgraphviz, GOstats",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
sass,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.10,NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
SAVER,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.3,NA,R (>= 3.0.1),"glmnet, foreach, methods, iterators, doParallel, Matrix",NA,"knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
ScaledMatrix,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.0,NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular,
DelayedMatrixStats",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
scales,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.0,NA,R (>= 4.1),"cli, farver (>= 2.0.3), glue, labeling, lifecycle, R6,
RColorBrewer, rlang (>= 1.1.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
scater,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.30.1,NA,"SingleCellExperiment, scuttle, ggplot2","stats, utils, methods, Matrix, BiocGenerics, S4Vectors,
SummarizedExperiment, DelayedArray, MatrixGenerics, beachmat,
BiocNeighbors, BiocSingular, BiocParallel, rlang, ggbeeswarm,
viridis, Rtsne, RColorBrewer, RcppML, uwot, pheatmap, ggrepel,
ggrastr",NA,"BiocStyle, snifter, densvis, cowplot, biomaRt, knitr,
scRNAseq, robustbase, rmarkdown, testthat, Biobase, scattermore",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
scattermore,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2,NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,"covr, knitr, rmarkdown, testthat",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.3.3
scatterpie,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.4,NA,"R (>= 4.1.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, dplyr, utils, yulab.utils
(>= 0.1.6)",NA,"knitr, rmarkdown, prettydoc, maps, scales, cli",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
scatterplot3d,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3-44,NA,R (>= 2.7.0),"grDevices, graphics, stats",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
sccomp,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.7.15,NA,R (>= 4.2.0),"methods, Rcpp (>= 0.12.0), RcppParallel (>= 5.0.1), rstantools
(>= 2.1.1), rstan (>= 2.26.0), SeuratObject,
SingleCellExperiment, parallel, dplyr, tidyr, purrr, magrittr,
rlang, tibble, boot, lifecycle, stats, tidyselect, utils,
ggplot2, ggrepel, patchwork, forcats, readr, scales, stringr,
glue","BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1), rstan (>= 2.26.0), StanHeaders (>=
2.26.0)","BiocStyle, testthat (>= 3.0.0), markdown, knitr, loo,
tidyseurat, tidySingleCellExperiment, prettydoc","furrr, extraDistr",GPL-3,NA,NA,NA,NA,yes,4.3.3
sccore,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.6,NA,R (>= 3.5.0),"dplyr, ggplot2, ggrepel, graphics, grDevices, igraph, irlba,
magrittr, Matrix, methods, parallel, pbmcapply, pROC, Rcpp,
rlang, scales, Seurat, stats, tibble, utils, uwot, withr","Rcpp, RcppArmadillo, RcppProgress, RcppEigen","ggrastr (>= 0.1.7), jsonlite, rmumps, testthat",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
scMEGA,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.2,NA,R (>= 4.3.0),"Rcpp, ArchR, SeuratObject, dplyr, optmatch, ggplot2, cowplot,
ggpubr, destiny, pracma, igraph, glue, ComplexHeatmap, IRanges,
Matrix, circlize, ggrepel, matrixStats, nabor, stringr,
textshape, tidyr, GenomicRanges, S4Vectors,
SummarizedExperiment, ggraph, factoextra",Rcpp,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
scPower,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.4,NA,R (>= 3.5.0),"Matrix, pwr, MKmisc, reshape2, HardyWeinberg, plotly, ggplot2,
shiny, shinydashboard (>= 0.7.1), shinydashboardPlus (>=
2.0.1), shinyjs, shinyBS",NA,"knitr, rmarkdown, ggpubr, data.table, viridis, RColorBrewer,
gridExtra, dplyr",NA,GNU GPLv3,NA,NA,NA,NA,no,4.3.3
scran,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.30.2,NA,"SingleCellExperiment, scuttle","SummarizedExperiment, S4Vectors, BiocGenerics, BiocParallel,
Rcpp, stats, methods, utils, Matrix, edgeR, limma, igraph,
statmod, DelayedArray, DelayedMatrixStats, BiocSingular,
bluster, metapod, dqrng, beachmat","Rcpp, beachmat, BH, dqrng, scuttle","testthat, BiocStyle, knitr, rmarkdown, HDF5Array, scRNAseq,
dynamicTreeCut, ResidualMatrix, ScaledMatrix, DESeq2, monocle,
Biobase, pheatmap, scater",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
sctransform,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.2,NA,R (>= 3.6.0),"dplyr, magrittr, MASS, Matrix (>= 1.5-0), methods,
future.apply, future, ggplot2, reshape2, rlang, gridExtra,
matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr",glmGamPoi,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.3.3
scuttle,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.12.0,NA,SingleCellExperiment,"methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat, scran",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
selectr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4-2,NA,R (>= 3.0),"methods, stringr, R6",NA,"testthat, XML, xml2",NA,BSD_3_clause + file LICENCE,NA,NA,NA,NA,no,4.3.3
seqLogo,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.68.0,NA,"R (>= 4.2), methods, grid","stats4, grDevices",NA,"knitr, BiocStyle, rmarkdown, testthat",NA,LGPL (>= 2),NA,NA,NA,NA,no,4.3.2
sessioninfo,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.3,NA,R (>= 3.4),"cli (>= 3.1.0), tools, utils",NA,"callr, covr, gh, reticulate, rmarkdown, testthat (>= 3.2.0),
withr",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
Seurat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,5.3.0,NA,"R (>= 4.0.0), methods, SeuratObject (>= 5.0.2)","cluster, cowplot, fastDummies, fitdistrplus, future,
future.apply, generics (>= 0.1.3), ggplot2 (>= 3.3.0), ggrepel,
ggridges, graphics, grDevices, grid, httr, ica, igraph, irlba,
jsonlite, KernSmooth, leidenbase, lifecycle, lmtest, MASS,
Matrix (>= 1.5-0), matrixStats, miniUI, patchwork, pbapply,
plotly (>= 4.9.0), png, progressr, RANN, RColorBrewer, Rcpp (>=
1.0.7), RcppAnnoy (>= 0.0.18), RcppHNSW, reticulate, rlang,
ROCR, RSpectra, Rtsne, scales, scattermore (>= 1.2),
sctransform (>= 0.4.1), shiny, spatstat.explore, spatstat.geom,
stats, tibble, tools, utils, uwot (>= 0.1.10)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, arrow, Biobase, BiocGenerics, BPCells, data.table,
DESeq2, DelayedArray, enrichR, GenomicRanges, GenomeInfoDb,
glmGamPoi, ggrastr, harmony, hdf5r, IRanges, limma, MAST,
metap, mixtools, monocle, presto, rsvd, R.utils, Rfast2,
rtracklayer, S4Vectors, sf (>= 1.0.0), SingleCellExperiment,
SummarizedExperiment, testthat, VGAM",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
SeuratData,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.2.9001,NA,R (>= 3.5.0),"cli, crayon, rappdirs, stats, utils, SeuratObject (>= 5.0.0)",NA,Azimuth,NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
SeuratDisk,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.0.0.9021,NA,R (>= 3.6.0),"cli (>= 2.0.1), crayon (>= 1.3.4), hdf5r (>= 1.3.0), Matrix
(>= 1.2.18), methods (>= 3.6.0), R6 (>= 2.4.1), rlang (>=
0.4.4), Seurat (>= 3.2.0), SeuratObject (>= 4.0.0), stats,
stringi (>= 1.4.6), tools, utils, withr (>= 2.1.2)",NA,"httr, knitr, rmarkdown, SeuratData",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
SeuratObject,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,5.1.0,NA,"R (>= 4.1.0), sp (>= 1.5.0)","future, future.apply, generics, grDevices, grid, lifecycle,
Matrix (>= 1.6.4), methods, progressr, Rcpp (>= 1.0.5), rlang
(>= 0.4.7), spam, stats, tools, utils","Rcpp, RcppEigen","BPCells, DelayedArray, fs (>= 1.5.2), ggplot2, HDF5Array,
rmarkdown, sf (>= 1.0.0), testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
SeuratWrappers,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3.5,NA,R (>= 3.5.0),"BiocManager, cowplot, ggplot2, igraph, Matrix, methods,
remotes, rsvd, Seurat (>= 5.0.0), stats, utils, rlang",NA,"cipr, conos, rliger (>= 0.5.0), harmony, batchelor,
SeuratData, SeuratDisk, velocyto.R, schex, tximport, fishpond,
monocle3, CoGAPS, glmpca, Nebulosa, presto, flexmix, tricycle,
Banksy",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
shadowtext,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.4,NA,R (>= 3.4.0),"ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
shape,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.6.1,NA,R (>= 2.01),"stats, graphics, grDevices",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
shiny,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.10.0,NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.3.2), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.6.0), cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"coro (>= 1.1.0), datasets, DT, Cairo (>= 1.5-5), testthat (>=
3.0.0), knitr (>= 1.6), markdown, rmarkdown, ggplot2, reactlog
(>= 1.0.0), magrittr, yaml, future, dygraphs, ragg, showtext,
sass",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
shinyBS,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.61.1,NA,NA,"shiny (>= 0.11), htmltools",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,4.3.3
shinydashboard,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.7.3,NA,R (>= 3.0),"htmltools (>= 0.2.6), promises, shiny (>= 1.0.0), utils",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
shinydashboardPlus,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0.5,NA,NA,"shiny, htmltools, shinydashboard, fresh, waiter (>= 0.2.3),
lifecycle",NA,"styler (>= 1.2.0), shinyAce, shinyWidgets, shinyEffects,
shinyjqui, knitr, rmarkdown, jsonlite, bslib",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,4.3.3
shinyjs,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.0,NA,R (>= 3.1.0),"digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
shinythemes,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.0,NA,R (>= 3.0.0),shiny (>= 0.11),NA,NA,NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
Signac,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.14.0,NA,"R (>= 4.1.0), methods","GenomeInfoDb (>= 1.29.3), GenomicRanges, IRanges, Matrix,
Rsamtools, S4Vectors, SeuratObject (>= 5.0.2), data.table,
dplyr (>= 1.0.0), future, future.apply, ggplot2, rlang, irlba,
pbapply, tidyr, patchwork, stats, utils, BiocGenerics, stringi,
fastmatch, RcppRoll, scales, Rcpp, grid, tidyselect, vctrs,
lifecycle",Rcpp,"Seurat (>= 5.0.2), ggforce, ggrepel, ggseqlogo, testthat (>=
2.1.0), chromVAR, SummarizedExperiment, TFBSTools, motifmatchr,
BSgenome, shiny, miniUI, rtracklayer, biovizBase, Biostrings,
lsa, MASS",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
simr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.7,NA,lme4 (>= 1.1-16),"binom,iterators,pbkrtest,plotrix,plyr,RLRsim,stringr,stats,methods,utils,graphics,grDevices,car,lmerTest
(>= 3.0-0)",NA,"testthat,knitr,rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
SingleCellExperiment,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.24.0,NA,SummarizedExperiment,"methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,GPL-3,NA,NA,NA,NA,no,4.3.2
sitmo,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0.2,NA,R (>= 3.2.0),Rcpp (>= 0.12.13),Rcpp,"knitr, rmarkdown, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
sjlabelled,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.0,NA,R (>= 3.4),"insight, datawizard, stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
sjmisc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.8.10,NA,R (>= 3.4),"dplyr, insight, datawizard, magrittr, methods, purrr, rlang,
sjlabelled (>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, nnet, sjPlot,
sjstats, knitr, rmarkdown, stringdist, testthat, tidyr",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
sjPlot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.8.17,NA,R (>= 3.6),"graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, ggeffects, ggplot2 (>= 3.2.0), knitr, insight, MASS,
parameters, performance, purrr, rlang, scales, sjlabelled (>=
1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8), tidyr (>=
1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, effects, haven,
GPArotation, ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4,
nFactors, pscl, psych, rmarkdown, rstanarm, sandwich, splines,
survey, TMB, testthat",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
sjstats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.19.0,NA,"R (>= 3.4), utils","datawizard, effectsize (>= 0.8.8), insight, parameters,
performance, stats",NA,"brms, car, coin, ggplot2, lme4, MASS, pscl, pwr, survey,
testthat",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
slam,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1-55,NA,R (>= 3.4.0),stats,NA,NA,"Matrix, SparseM, spam",GPL-2,NA,NA,NA,NA,yes,4.3.3
slingshot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.10.0,NA,"R (>= 4.0), princurve (>= 2.0.4), stats, TrajectoryUtils","graphics, grDevices, igraph, matrixStats, methods, S4Vectors,
SingleCellExperiment, SummarizedExperiment",NA,"BiocGenerics, BiocStyle, clusterExperiment,
DelayedMatrixStats, knitr, mclust, mgcv, RColorBrewer, rgl,
rmarkdown, testthat, uwot, covr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
sm,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2-6.0,NA,R (>= 3.1.0),NA,NA,"rgl, misc3d, interp, gam, tkrplot, rpanel (>= 1.1-4), tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
smoother,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3,NA,TTR(>= 0.22),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
snow,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4-4,NA,"R (>= 2.13.1), utils",NA,NA,rlecuyer,Rmpi,GPL,NA,NA,NA,NA,no,4.3.1
softImpute,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4-1,NA,"Matrix, methods",NA,NA,"knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,yes,4.3.3
SoupX,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.6.2,NA,R (>= 3.5.0),"ggplot2, Matrix, methods, Seurat (>= 3.2.2)",NA,"knitr, rstan, DropletUtils, rmarkdown, formatR",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
sourcetools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.7-1,NA,R (>= 3.0.2),NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
sp,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2-0,NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, maps, mapview, rmarkdown,
sf, terra, raster",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
spam,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.11-1,NA,R (>= 4.0),"dotCall64, grid, methods, Rcpp (>= 1.0.8.3)",Rcpp,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,LGPL-2 | BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
SparseArray,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.4,NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors, S4Arrays (>= 1.1.6)","stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","DelayedArray, testthat, knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
SparseM,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.84-2,NA,"R (>= 2.15), methods","graphics, stats, utils",NA,knitr,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
sparseMatrixStats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.14.0,NA,MatrixGenerics (>= 1.5.3),"Rcpp, Matrix, matrixStats (>= 0.60.0), methods",Rcpp,"testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.2
sparsesvd,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2-2,NA,R (>= 3.0),"Matrix (>= 1.3), methods",NA,NA,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.0
spatstat.data,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.1-6,NA,R (>= 3.5.0),"spatstat.utils (>= 3.1-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
spatstat.explore,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.4-2,NA,"R (>= 3.5.0), spatstat.data (>= 3.1-2), spatstat.univar (>=
3.1-2), spatstat.geom (>= 3.3-6), spatstat.random (>= 3.3-2),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.1-0), spatstat.sparse (>= 3.1-0), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.2-1), spatstat.model (>= 3.3-1), spatstat
(>= 3.1-1)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
